# Constructed from biom file
#OTU ID	EC04XS4	EC06XS9	EC07XS13	EC08XS17	EC11XS24	EC13XS34	EC14XS39	EC15XS44	EC17XS51	EC18XS56	EC19XS61	EC20X16SXS109	EC21X16SXS114	EC22X16SXS119	EC2X16SXS20	PR03XS1	PR04XS5	PR05XS7	PR06XS10	PR07XS14	PR08XS18	PR11XS25	PR12XS30	PR13XS35	PR14XS40	PR15XS45	PR16XS48	PR17XS52	PR18XS57	PR19XS62	PR1X16SXS17	PR20X16SXS110	PR21X16SXS115	PR22X16SXS120	PR2X16SXS21	RM08XS20	RM11XS27	RM12XS32	RM13XS36	RM14XS42	RM15XS47	RM17XS54	RM18X16SXS107	RM19XS64	RM21X16SXS112	RM22X16SXS117	SBW03XS2	SBW04XS6	SBW05XS8	SBW06XS11	SBW07XS15	SBW08XS19	SBW10XS21	SBW11XS26	SBW12XS31	SBW13XS37	SBW14XS41	SBW15XS46	SBW16XS49	SBW17XS53	SBW18XS58	SBW19XS63	SBW20X16SXS111	SBW21X16SXS116	SBW22X16SXS121	SBW2X16SXS22	STJ04XS3	STJ07XS12	STJ08XS16	STJ11XS23	STJ12XS28	STJ13XS33	STJ14XS38	STJ15XS43	STJ17XS50	STJ18XS55	STJ19XS60	STJ20X16SXS108	STJ21X16SXS113	STJ22X16SXS118	STJ2X16SXS19
2d9e3da53c94dae01663787c8a0dc9ce	0.0	0.0	0.0	0.0	0.0	0.0	256.0	239.0	0.0	0.0	0.0	474.0	0.0	189.0	0.0	594.0	0.0	0.0	1007.0	0.0	1116.0	2074.0	1862.0	1441.0	4258.0	6947.0	3688.0	1109.0	4214.0	8916.0	0.0	354.0	0.0	0.0	0.0	0.0	0.0	0.0	219.0	226.0	0.0	0.0	0.0	0.0	0.0	0.0	619.0	223.0	0.0	106.0	0.0	1024.0	1538.0	713.0	1016.0	2673.0	1156.0	18594.0	1839.0	1561.0	6474.0	4461.0	2483.0	1504.0	1804.0	797.0	0.0	0.0	0.0	0.0	0.0	0.0	417.0	133.0	0.0	0.0	0.0	0.0	0.0	529.0	0.0
8ae8f5c43f08412c2bb10980a544bcba	155.0	230.0	1533.0	407.0	211.0	0.0	0.0	2100.0	720.0	83.0	0.0	528.0	0.0	2222.0	0.0	1259.0	639.0	2968.0	1394.0	475.0	2050.0	1413.0	1390.0	2662.0	1176.0	1771.0	1843.0	560.0	575.0	1520.0	0.0	1802.0	501.0	595.0	0.0	1558.0	399.0	395.0	816.0	1735.0	2849.0	592.0	2919.0	383.0	811.0	532.0	854.0	1006.0	701.0	1318.0	463.0	2348.0	692.0	578.0	1453.0	797.0	1426.0	157.0	320.0	188.0	795.0	525.0	329.0	3914.0	2700.0	1011.0	153.0	0.0	154.0	339.0	154.0	112.0	128.0	616.0	243.0	0.0	65.0	535.0	555.0	362.0	994.0
7510f43d1a543ca4ef31c94b25139a6a	49.0	0.0	180.0	0.0	81.0	0.0	0.0	0.0	63.0	0.0	0.0	0.0	0.0	0.0	0.0	763.0	451.0	1642.0	2015.0	180.0	8837.0	3957.0	3250.0	2364.0	295.0	6841.0	2333.0	503.0	317.0	485.0	0.0	890.0	199.0	329.0	0.0	0.0	0.0	0.0	0.0	133.0	0.0	0.0	2300.0	0.0	0.0	0.0	1724.0	277.0	187.0	971.0	432.0	2888.0	451.0	7528.0	1855.0	792.0	171.0	7074.0	365.0	430.0	888.0	123.0	685.0	793.0	2685.0	0.0	86.0	0.0	56.0	146.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	727.0	0.0	0.0	868.0
39a7de3f86df2af6cb2fc07ca2f17062	350.0	346.0	395.0	492.0	393.0	458.0	428.0	918.0	244.0	0.0	0.0	1121.0	812.0	614.0	0.0	1407.0	369.0	1254.0	387.0	0.0	2077.0	1450.0	1172.0	1781.0	1807.0	1451.0	907.0	1183.0	1103.0	1228.0	0.0	4766.0	1621.0	760.0	786.0	1880.0	0.0	407.0	914.0	309.0	975.0	352.0	2697.0	223.0	761.0	1591.0	1117.0	0.0	862.0	346.0	0.0	1708.0	0.0	1340.0	413.0	651.0	867.0	1213.0	327.0	1866.0	428.0	0.0	1711.0	982.0	3166.0	1386.0	328.0	555.0	318.0	640.0	306.0	341.0	340.0	569.0	360.0	0.0	0.0	935.0	971.0	748.0	950.0
e7b66b8ef069d66833030caa66fec1f6	798.0	709.0	293.0	667.0	383.0	1671.0	599.0	707.0	1023.0	1120.0	564.0	3548.0	1969.0	1548.0	1357.0	297.0	666.0	756.0	192.0	603.0	0.0	215.0	652.0	747.0	196.0	0.0	123.0	2924.0	0.0	186.0	0.0	1446.0	5751.0	3912.0	1009.0	680.0	0.0	348.0	283.0	251.0	259.0	1259.0	1506.0	493.0	2617.0	2029.0	123.0	0.0	239.0	0.0	0.0	0.0	0.0	0.0	102.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	106.0	472.0	151.0	468.0	742.0	508.0	317.0	591.0	600.0	1202.0	683.0	821.0	1581.0	1157.0	652.0	2482.0	2552.0	1477.0	1620.0
06def41f01405d048942b17eed1cbedb	0.0	0.0	0.0	75.0	156.0	0.0	0.0	130.0	54.0	0.0	660.0	303.0	163.0	200.0	0.0	1062.0	12274.0	74.0	441.0	147.0	0.0	0.0	50.0	117.0	0.0	26.0	0.0	548.0	876.0	595.0	0.0	282.0	6575.0	1090.0	5883.0	154.0	138.0	697.0	4473.0	338.0	54.0	1007.0	5996.0	332.0	0.0	263.0	89.0	1374.0	0.0	319.0	430.0	85.0	765.0	0.0	85.0	1039.0	0.0	0.0	0.0	0.0	0.0	989.0	128.0	6312.0	655.0	712.0	116.0	0.0	53.0	173.0	138.0	0.0	135.0	127.0	77.0	68.0	631.0	374.0	224.0	649.0	540.0
51ebfba6644767c5ca9aaa88c2f98765	660.0	634.0	119.0	426.0	496.0	288.0	481.0	610.0	255.0	203.0	168.0	1153.0	1623.0	1512.0	465.0	235.0	1694.0	1378.0	375.0	337.0	92.0	333.0	447.0	1272.0	1705.0	102.0	58.0	154.0	78.0	114.0	934.0	2287.0	2327.0	3104.0	0.0	2029.0	556.0	1492.0	363.0	1053.0	596.0	452.0	3585.0	713.0	2607.0	2531.0	129.0	696.0	1163.0	186.0	94.0	250.0	41.0	208.0	46.0	223.0	295.0	38.0	0.0	0.0	0.0	0.0	1774.0	785.0	694.0	492.0	602.0	593.0	342.0	795.0	457.0	385.0	483.0	708.0	330.0	198.0	173.0	896.0	2524.0	2664.0	320.0
aaff7c54849029e5699a67085f5c9a19	1371.0	646.0	295.0	902.0	1254.0	1569.0	1218.0	1606.0	1068.0	1438.0	886.0	2161.0	2238.0	1467.0	1686.0	244.0	176.0	228.0	0.0	166.0	0.0	142.0	0.0	294.0	0.0	0.0	0.0	250.0	0.0	0.0	0.0	0.0	406.0	972.0	0.0	328.0	250.0	354.0	414.0	647.0	451.0	1044.0	2477.0	480.0	886.0	1409.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1208.0	1034.0	876.0	1699.0	1321.0	1295.0	1186.0	1305.0	1359.0	1283.0	1305.0	1830.0	1843.0	2563.0	2079.0
ae14e97e6a265c0b1ad5c2dbc92f9d42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	394.0	544.0	915.0	0.0	0.0	1013.0	1196.0	1249.0	893.0	1417.0	559.0	537.0	103.0	392.0	776.0	0.0	828.0	225.0	0.0	0.0	196.0	0.0	0.0	811.0	229.0	222.0	0.0	0.0	398.0	0.0	0.0	2233.0	1687.0	2444.0	629.0	436.0	1405.0	1189.0	3176.0	830.0	1213.0	3067.0	1403.0	2297.0	3175.0	2029.0	1932.0	5073.0	3621.0	2190.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	305.0	0.0	0.0
4a2599fe6968caecc782d1eab77374c8	216.0	92.0	0.0	56.0	93.0	159.0	99.0	0.0	0.0	128.0	139.0	208.0	558.0	0.0	0.0	71.0	1068.0	94.0	0.0	131.0	0.0	0.0	148.0	685.0	252.0	86.0	0.0	0.0	0.0	112.0	0.0	372.0	231.0	1173.0	611.0	0.0	262.0	412.0	233.0	440.0	0.0	0.0	52.0	0.0	733.0	149.0	1115.0	931.0	2224.0	646.0	446.0	636.0	215.0	261.0	1549.0	1348.0	2106.0	407.0	105.0	0.0	420.0	207.0	4885.0	3397.0	178.0	14444.0	303.0	60.0	53.0	105.0	0.0	110.0	118.0	0.0	0.0	211.0	213.0	1045.0	3286.0	312.0	0.0
043bf9f7588acb61615e1597e00fdce0	1142.0	624.0	395.0	659.0	617.0	843.0	606.0	2257.0	788.0	913.0	542.0	3456.0	1102.0	1570.0	0.0	183.0	453.0	367.0	306.0	218.0	100.0	458.0	473.0	798.0	547.0	0.0	0.0	416.0	368.0	442.0	0.0	1444.0	856.0	930.0	0.0	783.0	395.0	486.0	589.0	699.0	556.0	718.0	4515.0	543.0	701.0	1107.0	0.0	71.0	73.0	0.0	0.0	135.0	0.0	134.0	0.0	77.0	83.0	0.0	0.0	0.0	521.0	0.0	0.0	0.0	306.0	0.0	815.0	688.0	481.0	1082.0	986.0	768.0	565.0	1288.0	854.0	860.0	570.0	2068.0	1131.0	1410.0	0.0
8739b86e265f828574f405e362acc7d7	1035.0	1129.0	875.0	2831.0	1523.0	516.0	491.0	1974.0	422.0	573.0	318.0	3684.0	1215.0	1926.0	526.0	177.0	245.0	256.0	235.0	373.0	0.0	1254.0	82.0	313.0	161.0	123.0	131.0	218.0	419.0	1091.0	0.0	1855.0	1772.0	489.0	533.0	413.0	0.0	126.0	214.0	249.0	244.0	366.0	2014.0	183.0	731.0	195.0	133.0	0.0	0.0	0.0	0.0	0.0	0.0	115.0	0.0	0.0	33.0	0.0	0.0	0.0	30.0	0.0	113.0	329.0	101.0	299.0	668.0	700.0	898.0	2584.0	632.0	557.0	515.0	1178.0	1016.0	537.0	555.0	1644.0	1160.0	877.0	971.0
48acc10a47fd9a48519cc16087a1bd13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22627.0	0.0	0.0	176.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	131.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3716.0	0.0	0.0	0.0	0.0	1925.0	14698.0	0.0	0.0	1049.0	0.0	0.0	0.0	0.0	0.0	62.0	0.0	851.0	136.0	0.0	0.0	0.0	0.0	0.0	146.0	376.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
